,feature/ exemplar ENGLISH,,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,cabary,kip,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow,anchovy,dolphin,trout,goldfish,shark,herring,squid,cod,carp,orca,eel,piranha,plaice,flatfish,sperm whale,ray,sardine,pike,stickleback,sole,whale,salmon,swordfish,bee,leech,horsefly,centipede,fruit fly,bumblebee,cockroach,beetle,cricket,dragonfly,ladybug,louse,maybug,ant,moth,mosquito,earwig,wood louse,caterpillar,spider,grasshopper,fly,butterfly,flee,wasp,worm,viger,alligator,boa,cobra,dinosaur,gecko,lizard,blindworm,caiman,chameleon,frog,crocodile,iguana,toad,python,salamander,tortoise,snake,monitor lizard,turtle
eet planten,eats plants,83,3,3,4,4,4,3,4,4,3,4,0,1,3,0,4,4,3,0,3,4,3,4,4,4,0,3,1,1,1,4,1,2,3,2,2,1,3,3,2,3,2,2,3,2,2,2,1,2,2,3,1,0,1,3,3,3,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,1,2,3,3,3,3,1,3,2,1,2,2,2,3,2,3,2,2,1,2,3,2,1,2,2,3,2,2,3,1,2,1,1,2,1,2,2,4,2,1,3
is glibberig,is slippery,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,3,0,3,3,0,1,2,3,0,0,4,0,0,4,2,2,1,3,0,1
vooral in de zomer,seen mainly in summer,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,1,3,0,2,2,3,2,0,1,0,0,4,0,1,2,0,2,2,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedreigde diersoort,endangered species,82,0,1,3,0,0,1,0,1,0,1,1,4,1,1,0,0,0,3,0,3,3,2,0,0,3,0,1,2,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,2,2,0,0,0,3,0,0,3,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,2,1,0,3,1,0,1,0,0,1,1,1
is een vleeseter,is a carnivore,81,1,1,1,1,1,2,1,1,1,1,4,4,1,4,1,1,1,4,1,1,1,1,1,1,4,1,2,4,4,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,3,3,1,1,1,4,1,1,4,2,1,3,1,2,2,3,2
is lang,is long,81,0,0,1,2,0,0,0,3,0,0,0,1,0,0,1,0,1,1,0,2,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,1,0,4,1,1,1,1,4,3,0,0,0,3,0,0,1,1,1,4,1,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,2,4,4,4,4,3,1,2,3,4,2,0,4,3,0,4,2,0,4,3,0
nachtdier,nocturnal animal,79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is mooi,is beautiful,76,1,1,1,1,4,2,2,3,3,4,3,3,3,4,1,4,1,2,1,1,1,3,3,2,4,1,0,2,2,4,1,0,2,2,1,1,1,0,3,0,2,2,2,1,2,2,1,4,3,3,1,2,1,3,1,1,1,1,3,1,0,4,0,2,1,0,0,0,0,4,1,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,1,0,1,3,0,0,0,0,0,0,0,2,0,1,0,4,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,2
zes poten,has six paws,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,4,4,4,4,4,4,4,4,4,3,4,4,2,3,2,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heeft vele kleuren,has many colours,74,0,0,0,0,0,0,1,2,2,0,2,0,0,2,2,1,0,0,1,0,0,0,1,1,1,1,0,2,1,2,1,1,3,1,1,2,3,2,1,3,1,0,2,2,0,1,1,4,4,4,1,1,1,3,3,2,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,3,0,1,1,1,3,0,1,0,0,0,0,0,3,0,1,0,4,0,2,0,1,0,2,2,0,1,1,1,0,4,2,0,1,1,3,2,1,3,0,2
kruipt,crawls,74,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,1,1,3,3,2,1,2,2,3,4,0,1,4,4,3,2,0,1,0,2,1,2,2,3,2,2,0,4,4,2,3,3,1,3,3,1,2,4,4,2,3,1
zoemt,buzzes,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,2,4,0,0,1,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heeft een lange staart,has a long tail,72,2,0,0,0,2,0,2,1,0,0,2,0,2,3,3,0,1,4,3,0,0,3,3,0,4,0,0,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,3,3,1,3,3,0,3,2,0,1,3,0,1,2,0
heeft een schild,has a shield,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,2,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4
leeft in warme landen,lives in warm countries,70,3,2,3,4,2,2,2,4,2,2,2,0,4,2,2,2,4,4,2,4,4,4,2,2,4,2,2,2,1,3,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,3,2,1,3,0,2,2,2,3,2,2,1,2,2,3,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,3,4,3,3,4,4,3,4,4,3,4,3,3,4,3,3
wordt op gejaagd,is hunted,70,1,1,3,0,0,0,0,1,0,3,0,3,1,0,0,1,0,3,2,3,2,2,0,0,3,0,0,3,2,1,3,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,2,1,4,2,1,2,2,3,2,1,2,1,2,2,2,2,2,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,0,0,1,0,2,0,1,3,1,1,2,1,0,2,1,0
stinkt,stinks,67,1,1,1,1,0,1,1,1,1,1,1,0,0,0,2,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1
heeft een lange nek,has a long neck,66,0,0,0,1,0,0,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heeft lange poten,has long paws,64,1,0,1,4,0,0,3,4,0,3,1,1,0,0,3,0,4,2,0,1,1,4,4,0,3,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
het vlees ervan wordt gegeten,the meat is eaten,64,2,2,3,1,1,2,1,1,1,4,3,2,3,3,4,4,2,2,2,2,2,2,4,4,2,4,1,2,2,2,2,4,4,1,4,1,3,4,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3,2,3,2,2,3,2,3,3,2,3,3,3,3,2,2,3,3,2,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,2,1,1,1,2,1,2,3,1,2,3,1,1,3,1,0
kan snel lopen,runs fast,64,1,0,3,1,2,0,0,2,1,3,3,1,1,3,0,1,2,4,2,1,0,1,3,1,4,0,1,3,4,3,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,3,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,2,0,1,1,0,1,0,0,1,0,0,2,2,2,0,1,1,1,1,2,0,0,2,0,1,2,0
kan verschillende kleuren hebben,can have different colors,61,2,1,0,0,0,0,1,0,3,2,3,0,0,3,3,3,0,1,2,0,0,0,3,2,2,1,0,2,3,0,1,3,3,1,1,3,3,2,0,3,2,0,2,2,0,1,1,4,3,2,1,1,0,1,1,1,3,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,2,1,0,1,1,0,0,0,0,3,1,1,0,4,0,0,0,3,0,2,2,1,3,3,0,0,4,2,0,2,1,2,3,0,3,1,2
maakt geluid,makes a sound,59,3,2,3,3,2,2,4,2,2,2,4,2,2,4,4,2,3,4,3,3,3,4,4,4,4,4,2,2,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,3,0,2,4,0,0,4,1,0,0,0,0,0,4,0,0,0,0,2,4,0,0,3,0,3,1,4,4,3,1,1,2,1,1,4,1,2,3,4,2,0,4,2,0
springt,jumps,59,3,0,0,0,3,0,0,0,1,1,1,0,3,1,0,3,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,1,2,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,0,0,4,1,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,1,1,0,0,1,4,0,1,4,0,1,0,0,1,0
plat,is flat,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in kooi,lives in a cage,57,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,2,0,1,0,1,1,1,0
heeft voelsprieten,has feelers,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,4,3,3,4,4,4,3,4,2,4,3,4,3,4,4,4,2,4,3,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is een roofdier,is an animal of prey,54,0,1,1,0,0,0,0,0,0,0,2,3,0,1,0,0,0,4,0,0,0,0,0,0,4,0,1,4,4,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,4,0,0,0,1,1,0,4,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,3,1,1,0,4,1,0,4,1,0,3,1,0,4,2,0
leeft in bomen,lives in trees,54,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,4,1,2,0,0,2,0,3,4,4,1,4,3,1,3,2,1,1,0,1,4,4,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,2,1,1,0,2,0,0,2,0,1,2,0,1,2,0
is groen-bruin,is green-brown,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,4,2,1,2,3,4,1,4,2,2,4,3,3,2,3,3,2,3,3
soort slang,kind of snake,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,1,0,0,0,0,0,0,4,0,0,4,0,0
is traag,is slow,52,1,1,0,3,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,1,0,3,0,0,0,0,0,0,1,0,1,0,3,2,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,2,1,2,0,1,2,0,3,0,0,3,3,4,1,1,0,0,2,0,4,1,1,2,2,0,1,0,2,1,2,1,1,0,2,2,0,4,1,0,2
zorgt voor jeuk,causes itching,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,1,0,0,0,1,0,2,0,2,0,4,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
komt in verschillende maten en soorten voor,exists in different sizes and kinds,49,3,1,1,1,1,1,1,1,2,2,4,1,1,4,2,3,1,1,2,2,1,2,4,2,1,2,1,1,1,1,1,2,1,1,1,3,1,1,1,3,1,1,2,1,1,1,1,4,1,1,2,2,2,1,1,1,3,2,1,1,1,2,1,2,3,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,3,1,2,1,1,3,4,2,3,4,1,1,2,2,1,1,1,3,2,2,1,1,1,4,3,1,2,1,3,4,4,1,3
bijt,bites,48,2,0,2,0,2,0,2,2,2,1,4,3,1,3,1,2,2,4,2,2,2,1,2,1,4,1,2,4,4,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,4,4,3,4,3,1,1,1,4,1,1,4,1,1,4,1,2,4,2,2
eet gras,eats grass,48,1,1,4,2,1,1,3,3,1,4,1,1,2,0,4,3,3,0,1,2,2,2,3,3,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
geel en zwart,is yellow and black,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harig,hairy,48,2,3,2,3,2,0,2,2,2,2,3,3,2,3,2,3,3,2,1,1,1,1,2,3,3,0,1,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kan ver springen,can jump far,48,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,4,0,1,0,0,0,0
maakt veel lawaai,makes a lot of clamor,46,2,0,0,0,0,0,2,0,0,0,3,0,0,1,2,0,0,2,0,1,1,1,2,1,2,3,0,0,0,0,1,2,2,1,1,1,3,1,1,3,2,1,1,3,1,2,1,3,2,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,3,1,0,0,0,0,0,2,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
zuigt bloed,sucks blood,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,1,0,2,0,0,0,3,1,1,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is irritant,is irritating,45,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,2,1,1,1,1,1,1,1,1,1,0,2,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,1,3,3,3,2,3,2,0,4,2,2,4,4,3,3,1,3,3,4,0,4,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
is schattig,is cute,45,2,3,0,0,3,1,2,0,2,3,3,1,2,3,0,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,2,0,2,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kwaakt,quacks,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0
leeft niet in Belgi�,does not live in Belgium,44,2,1,3,3,0,0,0,3,0,0,0,3,4,0,0,0,3,3,0,3,3,3,0,0,3,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,2,3,1,1,3,1,2,1,1,3,1,3,1,1,2,2,2,1,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,1,1,3,3,0,3,3,0,3,1,2,3,4,2
leeft op de boerderij,lives on a farm,44,0,0,0,0,0,0,3,0,0,1,3,0,0,3,4,3,0,0,2,0,0,0,4,4,0,4,1,0,0,0,0,0,1,0,1,0,3,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zwaar,heavy,44,1,1,4,4,0,0,2,3,0,0,0,4,2,0,3,0,3,3,0,4,4,4,4,1,3,3,0,1,1,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,4,0,0,4,0,2,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,0,0,0,4,0,0,4,1,0,4,0,2,2,2,1
heeft een puntige bek,has a pointed mouth,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,4,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,2,4,3,4,2,3,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is een roofvogel,is a bird of prey,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
